"estado","candidato","votos","ano","turno","nome","porcentagem"
"Rondônia","Fernando Collor",165607,1989,"Turno 1","1989 - Fernando Collor",42.82
"Acre","Fernando Collor",49862,1989,"Turno 1","1989 - Fernando Collor",38.95
"Amazonas","Fernando Collor",300848,1989,"Turno 1","1989 - Fernando Collor",50.49
"Roraima","Fernando Collor",32130,1989,"Turno 1","1989 - Fernando Collor",59.72
"Pará","Fernando Collor",793384,1989,"Turno 1","1989 - Fernando Collor",52.01
"Amapá","Fernando Collor",42255,1989,"Turno 1","1989 - Fernando Collor",48.42
"Tocantins","Fernando Collor",164964,1989,"Turno 1","1989 - Fernando Collor",57.08
"Maranhão","Fernando Collor",609758,1989,"Turno 1","1989 - Fernando Collor",46.93
"Piauí","Fernando Collor",383632,1989,"Turno 1","1989 - Fernando Collor",39.75
"Ceará","Fernando Collor",861030,1989,"Turno 1","1989 - Fernando Collor",33.09
"R. G. do Norte","Fernando Collor",326878,1989,"Turno 1","1989 - Fernando Collor",33.37
"Paraíba","Fernando Collor",457129,1989,"Turno 1","1989 - Fernando Collor",35.16
"Pernambuco","Fernando Collor",1066986,1989,"Turno 1","1989 - Fernando Collor",37.74
"Alagoas","Fernando Collor",554612,1989,"Turno 1","1989 - Fernando Collor",64.38
"Sergipe","Fernando Collor",301730,1989,"Turno 1","1989 - Fernando Collor",50.81
"Bahia","Fernando Collor",1408614,1989,"Turno 1","1989 - Fernando Collor",34.77
"Minas Gerais","Fernando Collor",2801422,1989,"Turno 1","1989 - Fernando Collor",36.12
"Espírito Santo","Fernando Collor",468910,1989,"Turno 1","1989 - Fernando Collor",39.62
"Rio de Janeiro","Fernando Collor",1189385,1989,"Turno 1","1989 - Fernando Collor",16.07
"São Paulo","Fernando Collor",4085223,1989,"Turno 1","1989 - Fernando Collor",24.4
"Paraná","Fernando Collor",1738216,1989,"Turno 1","1989 - Fernando Collor",40.64
"Santa Catarina","Fernando Collor",566990,1989,"Turno 1","1989 - Fernando Collor",23.52
"R. G. do Sul","Fernando Collor",480842,1989,"Turno 1","1989 - Fernando Collor",9.23
"M. G. do Sul","Fernando Collor",436539,1989,"Turno 1","1989 - Fernando Collor",53.23
"Mato Grosso","Fernando Collor",344973,1989,"Turno 1","1989 - Fernando Collor",46.6
"Goiás","Fernando Collor",803199,1989,"Turno 1","1989 - Fernando Collor",45.39
"Distrito Federal","Fernando Collor",172818,1989,"Turno 1","1989 - Fernando Collor",22.75
"Rondônia","Fernando Collor",234272,1989,"Turno 2","1989 - Fernando Collor",63.25
"Acre","Fernando Collor",89103,1989,"Turno 2","1989 - Fernando Collor",69.18
"Amazonas","Fernando Collor",397103,1989,"Turno 2","1989 - Fernando Collor",66.79
"Roraima","Fernando Collor",39916,1989,"Turno 2","1989 - Fernando Collor",76.35
"Pará","Fernando Collor",1105829,1989,"Turno 2","1989 - Fernando Collor",72.49
"Amapá","Fernando Collor",53780,1989,"Turno 2","1989 - Fernando Collor",64.25
"Tocantins","Fernando Collor",227029,1989,"Turno 2","1989 - Fernando Collor",78.39
"Maranhão","Fernando Collor",867254,1989,"Turno 2","1989 - Fernando Collor",62.43
"Piauí","Fernando Collor",590593,1989,"Turno 2","1989 - Fernando Collor",58.92
"Ceará","Fernando Collor",1478449,1989,"Turno 2","1989 - Fernando Collor",56.91
"R. G. do Norte","Fernando Collor",535195,1989,"Turno 2","1989 - Fernando Collor",52.59
